"統一編號","商業名稱","商業地址","登記狀態"
"09833258","紅豆妮寵物生活館","新北市淡水區新民街５９號１樓","歇業／撤銷"
"09847513","朱羅紀水族館","新北市林口區仁愛路２段１４６號１樓","核准設立"
"09851207","犬太郎寵物美容店","新竹市北區金華里光華東一街2號","核准設立"
"09857292","奇特寵物店","桃園市平鎮區新富里環南路二段273、275號1樓","核准設立"
"09857954","狗屋寵物坊","桃園市中壢區普慶里中山東路２段４４７號１樓","歇業／撤銷"
"09862318","亞東寵物店","新北市板橋區四川路2段52號(1樓)","歇業／撤銷"
"09865286","忠義名狗園","宜蘭縣宜蘭市新民里昇平街六三號一樓","歇業／撤銷"
"09876679","多吉犬社","新北市三芝區迎旭街４３號１樓","歇業／撤銷"
"09877190","豐華寵物美容生活館","新北市三重區大同北路５４巷４號１樓","核准設立"
"09891741","喜多寵物美容住宿館","新北市板橋區中山路１段２８３巷２弄２５號（１樓）","核准設立"
"09894368","寶格水晶寵物精品店","新北市板橋區光復街６０號","核准設立"
"09905533","本愛企業社","桃園市桃園區自強里莊敬路１段１９３號１樓","歇業／撤銷"
"09916601","狗寶貝寵物食品用品社","桃園市龜山區大湖里文興路１０２號１樓","停業"
"09926501","街狗接貓寵物百貨行","新北市新店區北新路１段３２１號１樓","歇業／撤銷"
"09927635","奕群企業社","新北市三重區仁興街３１巷１８號１樓","歇業／撤銷"
"09931666","頑皮世界寵物用品店","新北市永和區福和路３８１號１樓","歇業／撤銷"
"09951304","仁義犬舍","新北市林口區竹林路６０號１樓","歇業／撤銷"
"09956201","黃金屋商行","新北市板橋區中正路４０３號１樓","歇業／撤銷"
"09956390","狗界炮王寵物精品屋","新北市新莊區中正路３８０號","歇業／撤銷"
"09973861","家堡寵物生活館","新北市三重區龍門路１０５號（１樓）","歇業／撤銷"
"09981004","親密伙伴寵物店","新北市永和區竹林路４４之２號","歇業／撤銷"
"09984380","貝克寵物店","新北市板橋區南雅南路１段１２１號（１樓）","歇業／撤銷"
"09987416","愛咪商行","新北市中和區廣福路６５號１樓","核准設立"
"09992425","紅貴賓犬天地館","新北市板橋區中正路１１５號（１樓）","歇業／撤銷"
"10037580","京品寵物家族名店","桃園市八德區茄明里中華路１５３號１樓","歇業／撤銷"
"10046504","啃陽光寵物美容精品店","新北市板橋區存德街１４號１號","歇業／撤銷"
"10056360","精典犬屋","新北市新店區中興路１段１７５號１樓","核准設立"
"10059232","米狗美舖","新北市永和區福和路３１６之２號","歇業／撤銷"
"10060569","龍安寵物生活館","桃園市龍潭區黃唐里中興路４９６號１樓","歇業／撤銷"
"10064410","狗奴財寵物美容舖","新北市板橋區溪北路９３（１樓）及９５號（１樓）","歇業／撤銷"
"10064426","左岸寵物店","新北市八里區渡船頭街１１巷１７號１樓","歇業／撤銷"
"10079429","唯美商行","新竹縣竹北市新崙里中華路２２６號１樓","歇業／撤銷"
"10082819","寵愛寵物生活館","新北市樹林區日新街７８號１樓","歇業／撤銷"
"10082873","美猴王寵物店","新北市三重區龍門路218號","歇業／撤銷"
"10088927","狗霸子寵物坊","新北市土城區福安街42巷22號","核准設立"
"10090178","ㄚ頭寵物精品館","新北市三重區大榮街５號（１樓）","歇業／撤銷"
"10092865","有間寵物店","桃園市桃園區寶慶里中埔二街１１６號１樓","歇業／撤銷"
"10095933","員山寵物店","新北市中和區員山路３４８號１樓","歇業／撤銷"
"10096172","戀戀寵物生活館","新北市新莊區新泰路３９６號","歇業／撤銷"
"10096969","善聞寵物園","新北市樹林區備內街１５８巷６５號（１樓）","歇業／撤銷"
"10097833","派特屋","新北市新店區如意街１巷８號１樓","歇業／撤銷"
"10100680","糖狗屋寵物生活館","臺南市新營區民權里中山路174號","核准設立"
"10127702","狗仔部落寵物精品館","臺南市永康區復華里復國一路560號1樓","核准設立"
"10144532","賓果寵物店","臺南市新營區埤寮里中正路484巷38號","歇業／撤銷"
"10160130","寶寶寵物生活館","臺南市仁德區保安里二仁路1段38、40號","核准設立"
"10183289","群冠名犬館郡西分店","臺南市中西區民主里郡西路130號1樓","廢止"
"10198500","愛薇寵物生活館","臺南市中西區光賢里和緯路4段263號1樓","歇業／撤銷"
"10203519","愛狗王寵物生活館","高雄市新興區文衡２路１６７巷２９之１號","歇業／撤銷"
"10209181","馨加寵物美容用品店","高雄市苓雅區青年１路２９３號","歇業／撤銷"
"10233252","盧比斯寵物店","高雄市苓雅區成功一路８２號","歇業／撤銷"
"10274252","多麗寵物","高雄市左營區南屏路３７２號","核准設立"
"10419362","現代寵物店","臺南市佳里區建南里中山路69號1樓","歇業／撤銷"
"10426650","奇異世界商行","高雄市仁武區高楠里高楠九街４９號１樓（營業所在地僅供辦公連絡用）","停業"
"10434005","龍族水族寵物","臺南市新營區民榮里新進路2段201號","核准設立"
"10455367","炫岑汽車商行","屏東縣屏東市長春里廣東路４８號１樓","歇業／撤銷"
"10481816","花草寵物生活坊","臺南市北區成德里和緯路2段442號1樓","歇業／撤銷"
"10487065","快樂尾巴專業寵物美容館","臺南市東區崇德里崇道路25號1樓","核准設立"
"10491878","秉聖名星愛犬館","臺南市南區府南里大成路2段151號1樓","核准設立"
"10513129","美樂狗寵物商行","新北市林口區南勢四街４８號１樓","歇業／撤銷"
"10514400","沃芙生活館","新北市中和區中山路3段118之7號","廢止"
"10516688","小叮噹愛犬澡堂","基隆市中山區和慶里中和路一六八巷七弄一六號一樓","歇業／撤銷"
"10519806","大福寵物店","新北市新莊區中正路925號","歇業／撤銷"
"10521134","波比寵物坊","新竹縣竹北市新社里中正西路２７４號","歇業／撤銷"
"10524940","芭比寵物坊","新竹縣竹東鎮東寧里１７鄰東寧路一段９５號１樓","歇業／撤銷"
"10526150","格樂寵物美容坊","新北市新店區民安街１２３號","核准設立"
"10526757","吉米寵物","桃園市中壢區忠孝里忠孝路３０８號１樓","歇業／撤銷"
"10528642","花生妹寵物美容精品店","新北市林口區公園路３５號","歇業／撤銷"
"10535448","貓狗一家親時尚精緻美容坊","新北市土城區學成路139號","核准設立"
"10546971","派比寵物精品生活館","新北市新店區光明街３８號（１、２樓）","廢止"
"10558954","熊寶貝的家寵物館","新北市新店區北宜路２段５７９巷１號（１樓）","停業"
"10565343","珍旺犬舍","新北市中和區華順街８號","歇業／撤銷"
"10569805","狗派對寵物生活館","新北市新莊區新泰路４１７之１號","核准設立"
"10569946","坤德居寵物店","新北市五股區工商路１４１號","歇業／撤銷"
"10588057","喬登寵物坊","新北市永和區保平路１１１巷６號","停業"
"10589719","鬥牛城市寵物房","新北市三重區下竹圍街１４號１樓","歇業／撤銷"
"10591519","丁鍹企業社","新北市土城區學享街７７號１樓","歇業／撤銷"
"10601093","泰林寵物店","新北市泰山區泰林路２段５９２號１樓","歇業／撤銷"
"10601116","薇晶寵物用品店","新北市淡水區清水街１之５號（１樓）","廢止"
"10611466","王子寵物生活館","新竹市東區綠水里光復路二段三九九號一樓","歇業／撤銷"
"10612063","淺草橋寵物坊","新北市板橋區大觀路2段7巷34號(1樓)","歇業／撤銷"
"10616429","泰豪寵物店","新北市板橋區縣民大道３段３２號１樓","核准設立"
"10631929","東方寵物坊","新北市板橋區富山街５３巷６０號（１樓）","歇業／撤銷"
"10637536","啦琦寵物店","新北市板橋區長江路２段８３號１樓","歇業／撤銷"
"10646556","乖乖狗寵物店","新北市泰山區中華街１８巷１０號","核准設立"
"10648978","紅貴賓寵物店","桃園市八德區大安里建安街７２巷１１弄２３號１樓","核准設立"
"10657716","振華水族館","新北市新莊區中正路５１３號","廢止"
"10661388","伊凡寵物美容生活館","新北市中和區復興路３００號１樓","歇業／撤銷"
"10661633","糖糖寵物店","新北市三重區中華路43號","核准設立"
"10667600","哮天犬寵物精品店","新北市樹林區桃子腳路88號1樓","核准設立"
"10669585","貴族媽媽寵物專賣店","宜蘭縣宜蘭市進士里擺厘路11之23號一樓","核准設立"
"10675144","渡美名犬舍","新北市新莊區中榮街１０４巷９號１樓","歇業／撤銷"
"10693699","湯之屋寵物自助洗店","新北市永和區得和路１１號１樓","核准設立"
"10693760","丁寶寵物沙龍精品店","新北市三重區五華街２１３號１樓","核准設立"
"10695916","成都寵物舍","新北市鶯歌區大湖路３３８巷１８號（１樓）","歇業／撤銷"
"10719620","波波犬舍","屏東縣屏東市和興里和興１０３－５號１樓","核准設立"
"10729465","球球寵物精品店","嘉義市西區福民里漢口路６１號一樓","歇業／撤銷"
"10755553","逢瑩犬舍","臺東縣臺東市岩灣里新站路二０四號一樓","廢止"
"10760628","太普犬坊","屏東縣新園鄉五房村五房路１４６號１樓","核准設立"
"10762230","紫愛寵物主題館","臺南市東區大福里大同路2段243號1樓","歇業／撤銷"
"10790897","米琦寵物百貨店","臺南市永康區南灣里大灣路610號2樓","歇業／撤銷"
"10840236","寵物新貴生活館","臺南市新市區新和里中正路192號1樓","核准設立"
"10841410","夢幻家族犬舍","臺南市西港區劉厝里106號","歇業／撤銷"
"10842516","喜多麗愛犬屋","臺南市佳里區建南里平等街183號","歇業／撤銷"
"10844198","喜恩精緻寵物美容館","臺南市永康區西橋里中華西街21巷8之1號1樓","核准設立"
"10852529","金莎格格寵物店","臺南市北區東興里小東路297之2號1、2樓","歇業／撤銷"
"10853225","花草寵物生活坊","臺南市北區華德里育成路190號1樓","核准設立"
"10854809","愛享家寵物樂活館","臺南市東區龍山里東門路2段158巷16號1樓","核准設立"
"10856665","中美和緯寵物生活館","臺南市北區成德里和緯路2段231號2樓","核准設立"
"10858474","幸福寵物自助澡堂舘","臺南市南區廣州里福吉二街88號1樓","核准設立"
"10859712","汪汪寵物狗美容澡堂","臺南市安南區原佃里安中路2段92號1樓","歇業／撤銷"
"10861528","寵物哲學自助澡堂生活舘","臺南市東區大福里大同路2段243號1樓","歇業／撤銷"
"10861610","艾妮寵物生活館","臺南市南區金華里中華西路1段248號1樓、B1","歇業／撤銷"
"10864617","東京精緻寵物生活館","臺南市東區東光里東興路32號1樓","歇業／撤銷"
"10867641","上愛犬舍","臺南市安南區安東里安和路1段178號1樓","核准設立"
"10881094","蠻牛鬥牛犬舍","臺南市北區文元里文賢二街486號","停業"
"10890066","汪多利商行","屏東縣里港鄉過江村過江路72-3號","核准設立"
"10901612","新樂園水族館","雲林縣斗南鎮田頭里延平北路243號","核准設立"
"10911689","盎生犬舍","彰化縣埔心鄉東門村員鹿路2段247號","核准設立"
"10915411","高秋莊犬舍","彰化縣大村鄉貢旗村大溪路16-26號","核准設立"
"10925733","波爾寵物店","彰化縣永靖鄉瑚璉村中山路2段431號","申覆（辯）期"
"10926091","幸儀犬舍","臺中市潭子區福仁里復興路1段2之3號","核准設立"
"10948948","春興犬舍","彰化縣田中鎮大社里大社路3段894巷72號","歇業／撤銷"
"10949448","中信寵物","彰化縣鹿港鎮東石里臨海路3段45號","歇業／撤銷"
"10951730","小妹犬舍","彰化縣線西鄉下犁村崁頂路115巷76號","核准設立"
"10951838","名將寵物美容名店","彰化縣社頭鄉仁雅村民生路742號1樓","核准設立"
"10954814","貝比寵物生活館","彰化縣彰化市莿桐里彰水路163號","歇業／撤銷"
"10959297","傑生寵物生活館","彰化縣溪湖鎮西溪里員鹿路2段475號","核准設立"
"10961955","雅晟寵物百貨生活館","彰化縣花壇鄉花壇村中山路1段399號1樓","核准設立"
"10962498","華馨寵物生活館","彰化縣彰化市大同里太平街18號","核准設立"
"10975780","水果貓寵物坊","臺中市西區忠明里忠誠街87號","歇業／撤銷"
"10976486","然越寵物美容用品店","臺中市南屯區大同里東興路二段235號1樓","核准設立"
"10978061","歐藤寵物沙龍","臺中市西區昇平里美村路一段３３０號１樓","核准設立"
"10980762","好狗樣寵物館","臺中市沙鹿區鹿寮里光大路268號1樓","核准設立"
"10982950","亞星獒犬舍","臺中市大雅區橫山里振興路13號","核准設立"
"10984660","凱文兄弟寵物生活館","臺中市南屯區向心里永春東路２９７號１樓","核准設立"
"10986392","富達寵物坊","臺中市太平區宜昌路４３８之１號","核准設立"
"10986442","黑豆豆狗狗沙龍","臺中市龍井區東海里遊園北路609號1樓","歇業／撤銷"
"10986766","霹靂神犬寵物沙龍坊","臺中市大里區內新里新南路７４之１號1樓","歇業／撤銷"
"10987033","狗仔隊寵物名店","臺中市大里區瑞城里塗城路567號1樓","核准設立"
"10989497","泰運商行","臺中市大里區永隆里永隆路298號1樓","核准設立"
"10989807","莎莎寶貝寵物美容屋","臺中市大里區德芳路一段１２號１樓、２樓","核准設立"
"10990831","寶貝窩寵物名店","臺中市潭子區東寶里民族路一段58巷22號","核准設立"
"10992768","家寶寵物店","臺中市大里區內新里內新街４７之２號","核准設立"
"10992774","美智寵物店","臺中市潭子區栗林里中山路3段571號","核准設立"
"10993892","歐克名犬館","臺中市后里區眉山里四月路9-2號","歇業／撤銷"
"10994317","潞寅寵物精品百貨","臺中市大里區東昇里內新街157號1樓","歇業／撤銷"
"10994554","幸福家犬舍","臺中市霧峰區六股里中正路307巷21號","歇業／撤銷"
"10994816","祁益犬莊","臺中市沙鹿區南勢里自由路95巷22-23號1樓","核准設立"
"10995414","古馳犬舍","臺中市霧峰區六股里中正路395號1樓","歇業／撤銷"
"10997551","魔斯凱歐寵物沙龍","臺中市南屯區黎明東街390號1樓","核准設立"
"10997807","寵愛水族寵物大賣場","臺中市北屯區水景里東山路一段156之31號","歇業／撤銷"
"10999116","亮晶晶寵物店","臺中市西屯區逢福里文華路53號1樓","歇業／撤銷"
"10999755","多糖寵物生活館","臺中市南屯區大誠里大墩路82號1樓","歇業／撤銷"
"13209087","新寵物鳥世界鳥園","臺南市麻豆區大埕里大埕13之9號1樓","廢止"
"13291656","巨將寵物美容名店","彰化縣田中鎮西路里員集路二段四八七號","核准設立"
"13294773","小叮噹寵物坊","彰化縣彰化市興北里三民路１４８號","核准設立"
"13371665","三福寵物用品店","新北市泰山區明志路１段４８８號１樓","核准設立"
"13427680","貓語動物專賣店","臺中市豐原區南陽里南陽路２８３號（限一樓）","歇業／撤銷"
"13428914","國際皇家名犬店","臺中市大里區新里里大新街６５號１樓","核准設立"
"13478358","森心寵物名店","臺北市信義區莊敬路217號1樓","歇業／撤銷"
"13666062","奇麗寵物","宜蘭縣羅東鎮羅東里中山路三段二四Ｏ號一樓","歇業／撤銷"
"13689852","好狗狗寵物專業美容店","新北市土城區中央路１段１７１號（１樓）","核准設立"
"13796403","犬貓莊","新北市五股區成泰路１段１３５號１樓","停業"
"13839260","金犬家莊寵物精品店","新北市八里區龍米路２段１２號１樓","核准設立"
"13839260","金犬家莊寵物精品店","臺北市萬華區中華路1段144之35號及36號","遷他縣市"
"13878349","漂亮寶貝寵物坊","新竹市東區南市里中華路二段六三０號一樓","歇業／撤銷"
"13920938","嘉佳鳥店","臺南市安南區新順里安和路3段131號1樓","歇業／撤銷"
"14172968","福安狗園","新北市鶯歌區鶯桃路３９９號１樓","歇業／撤銷"
"14187126","寵物村寵物店","新北市中和區中山路２段４９９號１樓","核准設立"
"14202935","彩虹寵物店","臺東縣臺東市新興里鐵花路八十七巷十三號一樓","歇業／撤銷"
"14258536","全美寵物專業美容店","新北市板橋區陽明街６４號","歇業／撤銷"
"14269668","游旺寵物商行","新北市土城區青雲路９７號（１樓）","歇業／撤銷"
"14312980","金皇家寵物美容百貨坊","臺北市中山區林森北路349之1號1樓","廢止"
"14351701","美滿犬莊","臺南市永康區塩行里中正南路662號1樓","核准設立"
"14363713","喜多麗愛犬屋","臺南市佳里區建南里平等街183號1樓","歇業／撤銷"
"14363777","什嘴狗貓寵物店","臺南市善化區光文里中山路189之1號1樓","核准設立"
"14380332","安利寵物精品店","桃園市中壢區至善里２４鄰後寮一路２７９號１樓","歇業／撤銷"
"14404545","寵愛寵物生活館","臺南市東區莊敬里東和路13號1樓","核准設立"
"14415058","喬邁狗美容專業名店","臺中市豐原區中山里府前街１８號一樓","核准設立"
"14432704","親密伙伴寵物店","基隆市仁愛區玉田里仁三路二七號一樓","歇業／撤銷"
"14466990","鸚鵡叢林寵物店","高雄市鳳山區文衡路３８６號１４樓","核准設立"
"14472233","華隆犬舍","屏東縣屏東市公館里復興南路一段六四三之二號","核准設立"
"14495221","大眾寵物店","新北市新店區中華路１４號","歇業／撤銷"
"14497115","田園寵物生活館","新北市板橋區實踐路１２６號１樓","歇業／撤銷"
"14518250","壹零壹寵物店","嘉義市東區過溝里吳鳳北路９７號一樓","核准設立"
"14526385","祥統寵物百貨用品店","嘉義市西區垂楊里新民路７６５號一樓","歇業／撤銷"
"14582105","萬旺寵物店","臺中市西屯區何厝里西屯路二段41之5號1樓","歇業／撤銷"
"14589281","長洋水族館","臺中市南屯區大誠里五權西路二段８０號","歇業／撤銷"
"14591076","合棋動物店","臺中市西區安龍里五權路２之２５號一樓","歇業／撤銷"
"14593601","狗民寵物美容坊","臺中市北區頂厝里漢口路五段３２巷８號一樓","歇業／撤銷"
"14598520","華南馴犬寵物坊","臺中市西屯區港尾里清武巷３１之２號","歇業／撤銷"
"14600384","小安可愛犬美容","南投縣草屯鎮炎峰里中正路587之16號","核准設立"
"14600666","寵物玩家","南投縣南投市彰南路二段一七二號","停業"
"14601216","喜樂寵物店","南投縣南投市軍功里中興路三九六號","歇業／撤銷"
"14602094","樂透犬莊","南投縣竹山鎮竹圍里大禮路三五巷二五號一樓","核准設立"
"14602329","強生犬畜寵物","南投縣竹山鎮中崎里集山路三段一四二二號","核准設立"
"14602539","奇美犬舍","南投縣草屯鎮南埔里中正路二六五號","歇業／撤銷"
"14607035","旺旺寵物美容工作室","南投縣草屯鎮新厝里虎山路七００號","歇業／撤銷"
"14612038","妞妞犬舍","南投縣南投市軍功里中興路二三三之四十號","歇業／撤銷"
"14625505","永慶寵物美容專賣店","彰化縣彰化市福安里曉陽路５１號１樓","歇業／撤銷"
"14630423","田尾大丹犬舍","彰化縣田尾鄉陸豐村民生路三段八二巷八號","核准設立"
"14651279","奧莉薇寵物店","新北市板橋區新生街6號1樓","核准設立"
"14652707","亞朵寵物工作室","新北市汐止區康寧街４０６號１樓","核准設立"
"14653311","亞旺寵物美容店","新北市蘆洲區民族路５２２號","核准設立"
"14656627","樂華寵物店","新北市永和區保平路１８巷８號１樓","歇業／撤銷"
"14673549","狗狗的家寵物店","桃園市楊梅區裕成里裕成路１６４巷３１號１樓","歇業／撤銷"
"14673554","奇玉寵物精品店","桃園市八德區大福里９鄰介壽路一段８４號１樓","歇業／撤銷"
"14673576","國鵬商行","桃園市楊梅區高榮里１８鄰高上路１段１１８號１樓","歇業／撤銷"
"14673581","薇美寵物精品店","桃園市中壢區幸福里福壽一街１１號１樓","核准設立"
"14673597","健狗家族專業寵物美容店","桃園市八德區大和里建國路１１４８號１樓","核准設立"
"14674049","德明犬舍行","桃園市中壢區仁愛里榮民南路２３１巷１弄２５號１樓","歇業／撤銷"
"14674076","犬家福寵物精品店","桃園市桃園區中成里永安路４０９號１樓","核准設立"
"14674097","先鋒商行","桃園市八德區霄裡里１９鄰新生路４５１號１樓","歇業／撤銷"
"14677995","元順寵物飼料用品店","桃園市大園區田心里華興路186號1樓","核准設立"
"14710925","波波寵物用品店","臺北市松山區饒河街82號1樓","核准設立"
"14771350","錢櫃愛犬美容屋","臺南市安平區怡平里華平路698號1樓","核准設立"
"14775784","鴻慶鳥園","臺南市安南區淵東里海佃路4段55巷160之1號1樓","核准設立"
"14778987","全省寵物店","臺南市南區日新里新興路507之4號1樓","核准設立"
"14800897","日成寵物用品店","臺中市豐原區社皮里成功路２９９號","歇業／撤銷"
"14803310","來福犬舍","臺中市大雅區大雅里中清東路２１７號１樓","核准設立"
"14817567","均勝名犬買賣站","新竹縣湖口鄉和興村德興路５１９巷１６號１樓","歇業／撤銷"
"14873440","富川犬貓用品商行","新北市板橋區林園街２２號","核准設立"
"14877179","翔楓寵物店","新北市中和區中和路１７６號（１樓）","歇業／撤銷"
"14878938","幸福寵物用品社","新北市新莊區幸福路５７０號","核准設立"
"14883144","大多多寵物店","新北市中和區中山路２段４８３號","歇業／撤銷"
"14885635","寵物俱樂部犬舍","新北市新莊區中港路４９７號","核准設立"
"14941101","東亞犬舍","桃園市桃園區青溪里中央街１２２號１樓","核准設立"
"14957362","長利企業社","桃園市中壢區興國里新生路１４９號１樓","歇業／撤銷"
"14964568","旺畎寵物犬舍","臺中市北區明德里太原二街２０號１、３樓","核准設立"
